date, pm25, pm10, o3, no2, so2, co
2021/11/2, 177, 89, 23, 22, 6, 
2021/11/3, 165, 109, 50, 25, 5, 
2021/11/4, 185, 114, 51, 26, 13, 
2021/11/5, 188, 112, 38, 23, 9, 
2021/11/6, 179, 59, 21, 16, 4, 
2021/11/7, 121, 15, 30, 5, 2, 
2021/11/8, 41, 41, 33, 11, 13, 
2021/11/9, 59, 53, 31, 18, 8, 
2021/11/10, 77, 57, 30, 19, 14, 
2021/11/11, 79, 60, 31, 21, 8, 
2021/11/12, 93, 82, 35, 26, 12, 
2021/11/13, 145, 99, 28, 26, 8, 
2021/11/14, 154, 114, 8, 30, 16, 
2021/11/15, 163, 118, , 27, 17, 
2021/11/16, 175, 98, 30, 24, 9, 
2021/11/17, 168, 127, 68, 23, 13, 
2021/11/18, 193, 96, 61, 14, 7, 
2021/11/19, 163, 122, 42, 22, 8, 
2021/11/20, 199, 71, 2, 21, 7, 
2021/11/21, 122, , , , , 
2021/10/2, 134, 85, 79, 14, 6, 
2021/10/3, 142, 63, 56, 10, 4, 
2021/10/4, 104, 33, 19, 7, 3, 
2021/10/5, 55, 5, 19, 6, 1, 
2021/10/6, 23, 3, 17, 8, 1, 
2021/10/7, 17, 18, 22, 8, 1, 
2021/10/8, 43, 49, 17, 11, 2, 
2021/10/9, 121, 54, 32, 8, 4, 
2021/10/10, 131, 48, 26, 10, 4, 
2021/10/11, 84, 46, 32, 14, 6, 
2021/10/12, 62, 60, 55, 16, 10, 
2021/10/13, 102, 85, 87, 26, 13, 
2021/10/14, 151, 85, 65, 24, 7, 
2021/10/15, 158, 64, 32, 12, 5, 
2021/10/16, 149, 50, 30, 12, 3, 
2021/10/17, 48, 56, 33, 19, 7, 
2021/10/18, 84, 72, 38, 22, 5, 
2021/10/19, 127, 88, 22, 23, 7, 
2021/10/20, 149, 75, 21, 22, 6, 
2021/10/21, 136, 81, 33, 19, 3, 
2021/10/22, 165, 107, 53, 26, 6, 
2021/10/23, 179, 95, 52, 29, 16, 
2021/10/24, 166, 116, 70, 35, 14, 
2021/10/25, 185, 108, 78, 29, 18, 
2021/10/26, 186, 115, 60, 28, 14, 
2021/10/27, 184, 127, 52, 29, 7, 
2021/10/28, 199, 123, 77, 33, 8, 
2021/10/29, 185, 117, 76, 20, 9, 
2021/10/30, 186, 127, 62, 25, 13, 
2021/10/31, 197, 136, 43, 25, 13, 
2021/11/1, 207, 100, 25, 21, 4, 
2021/9/2, 67, 40, 48, 10, 2, 
2021/9/3, 90, 48, 59, 10, 3, 
2021/9/4, 90, 25, 41, 6, 3, 
2021/9/5, 61, 17, 34, 3, 2, 
2021/9/6, 51, 20, 36, 5, 2, 
2021/9/7, 46, 35, 55, 9, 4, 
2021/9/8, 48, 43, 59, 8, 3, 
2021/9/9, 72, 47, 61, 10, 3, 
2021/9/10, 73, 59, 70, 10, 4, 
2021/9/11, 91, 57, 78, 10, 4, 
2021/9/12, 84, 66, 86, 13, 5, 
2021/9/13, 115, 56, 89, 11, 4, 
2021/9/14, 90, 63, 81, 11, 4, 
2021/9/15, 105, 57, 76, 10, 5, 
2021/9/16, 94, 70, 95, 18, 7, 
2021/9/17, 109, 61, 52, 9, 4, 
2021/9/18, 122, 38, 28, 13, 5, 
2021/9/19, 89, 18, 28, 7, 2, 
2021/9/20, 55, 22, 52, 6, 2, 
2021/9/21, 33, 49, 75, 9, 4, 
2021/9/22, 65, 71, 89, 15, 7, 
2021/9/23, 97, 69, 83, 12, 8, 
2021/9/24, 108, 60, 58, 10, 6, 
2021/9/25, 114, 18, 41, 6, 2, 
2021/9/26, 46, 10, 27, 6, 2, 
2021/9/27, 20, 23, 30, 6, 2, 
2021/9/28, 52, 24, 36, 9, 3, 
2021/9/29, 56, 41, 56, 13, 3, 
2021/9/30, 69, 50, 61, 11, 5, 
2021/10/1, 72, 79, 75, 8, 5, 
2021/8/2, 68, 29, , 5, 3, 
2021/8/3, 56, 54, 90, 9, 3, 
2021/8/4, 95, 55, 64, 11, 3, 
2021/8/5, 95, 45, 50, 11, 3, 
2021/8/6, 71, 50, 76, 13, 4, 
2021/8/7, 88, 52, 63, 14, 3, 
2021/8/8, 92, 63, 107, 15, 4, 
2021/8/9, 110, 55, 75, 9, 2, 
2021/8/10, 100, 48, 65, 9, 3, 
2021/8/11, 77, 72, 100, 18, 4, 
2021/8/12, 128, 68, 50, 17, 4, 
2021/8/13, 138, 55, 51, 9, 3, 
2021/8/14, 128, 66, 89, 13, 2, 
2021/8/15, 132, 66, 86, 17, 4, 
2021/8/16, 113, 62, 69, 15, 4, 
2021/8/17, 108, 53, 83, 11, 3, 
2021/8/18, 97, 69, 101, 11, 4, 
2021/8/19, 147, 60, 79, 8, 3, 
2021/8/20, 110, 23, 46, 6, 2, 
2021/8/21, 59, 47, 76, 8, 4, 
2021/8/22, 93, 40, 54, 7, 3, 
2021/8/23, 80, 15, 52, 5, 1, 
2021/8/24, 40, 51, 75, 8, 3, 
2021/8/25, 85, 62, 61, 11, 3, 
2021/8/26, 67, 59, 34, 10, 3, 
2021/8/27, 79, 30, 50, 7, 1, 
2021/8/28, 40, 33, 36, 10, 3, 
2021/8/29, 65, 16, 27, 7, 2, 
2021/8/30, 51, 9, 21, 7, 2, 
2021/8/31, 33, 11, 37, 4, 3, 
2021/9/1, 33, 23, 26, 6, 2, 
2021/7/2, 50, 52, 62, 10, 4, 
2021/7/3, 97, 35, 69, 9, 2, 
2021/7/4, 73, 52, 87, 11, 3, 
2021/7/5, 87, 39, 70, 7, 2, 
2021/7/6, 56, 37, 60, 8, 3, 
2021/7/7, 55, 45, 57, 9, 3, 
2021/7/8, 72, 43, 75, 8, 2, 
2021/7/9, 60, 45, 86, 8, 2, 
2021/7/10, 68, 50, 56, 6, 2, 
2021/7/11, 74, 59, 43, 7, 3, 
2021/7/12, 74, 44, 43, 4, 2, 
2021/7/13, 75, 39, 57, 6, 3, 
2021/7/14, 68, 40, 62, 7, 2, 
2021/7/15, 67, 15, 73, 5, 1, 
2021/7/16, 28, 14, 48, 6, 2, 
2021/7/17, 38, 22, 28, 7, 2, 
2021/7/18, 50, 24, 36, 7, 3, 
