date, pm25, pm10, o3, no2, so2, co
2021/11/2, 68, 30, 38, 5, 2, 1
2021/11/3, 57, 44, 39, 8, 3, 2
2021/11/4, 81, 40, 54, 5, 2, 2
2021/11/5, 67, 41, 55, 11, 6, 3
2021/11/6, 76, 38, 37, 10, 5, 3
2021/11/7, 74, 26, 44, 4, 2, 3
2021/11/8, 40, 22, 24, 9, 2, 3
2021/11/9, 35, 31, 40, 6, 2, 2
2021/11/10, 58, 36, 42, 8, 4, 1
2021/11/11, 60, 45, 51, 11, 6, 2
2021/11/12, 75, 39, 57, 5, 3, 3
2021/11/13, 67, 36, 44, 7, 3, 4
2021/11/14, 68, 36, 44, 5, 3, 3
2021/11/15, 65, 43, 39, 9, 3, 3
2021/11/16, 71, 45, 36, 11, 4, 4
2021/11/17, 76, 26, 30, 10, 2, 4
2021/11/18, 54, 34, 24, 11, 4, 5
2021/11/19, 64, 35, 35, 9, 3, 4
2021/11/20, 59, 23, 23, 9, 2, 3
2021/11/21, 40, , , , , 
2021/10/2, 59, 23, 50, 2, 2, 4
2021/10/3, 51, 28, 74, 3, 3, 3
2021/10/4, 52, 36, 41, 3, 2, 
2021/10/5, 50, 36, 41, 2, 2, 2
2021/10/6, 51, 30, 35, 2, 2, 2
2021/10/7, 48, 20, 31, 2, 2, 3
2021/10/8, 34, 23, 29, 2, 2, 2
2021/10/9, 32, 40, 30, 2, 2, 2
2021/10/10, 51, 21, 32, 2, 2, 2
2021/10/11, 31, 30, 26, 1, 1, 2
2021/10/12, 28, 29, 21, 2, 1, 
2021/10/13, 24, 22, 29, 4, 2, 3
2021/10/14, 35, 18, 25, 7, 3, 3
2021/10/15, 30, 29, 35, 4, 2, 2
2021/10/16, 39, 26, 33, 3, 2, 2
2021/10/17, 35, 31, 42, 3, 2, 2
2021/10/18, 33, 29, 49, 3, 2, 3
2021/10/19, 48, 29, 58, 4, 2, 2
2021/10/20, 53, 33, 67, 3, 2, 4
2021/10/21, 62, 31, 28, 9, 2, 5
2021/10/22, 56, 8, 35, 7, 1, 3
2021/10/23, 14, 21, 39, 5, 2, 2
2021/10/24, 48, 16, 40, 4, 2, 2
2021/10/25, 32, 25, 51, 5, 2, 2
2021/10/26, 45, 26, 47, 3, 2, 1
2021/10/27, 38, 33, 51, 4, 3, 2
2021/10/28, 53, 39, 57, 4, 3, 2
2021/10/29, 71, 44, 66, 4, 3, 4
2021/10/30, 76, 41, 50, 5, 3, 3
2021/10/31, 71, 49, 79, 4, 3, 2
2021/11/1, 92, 36, 39, 4, 3, 2
2021/9/2, 52, 21, 31, 6, 3, 2
2021/9/3, 43, 20, 30, 7, 3, 2
2021/9/4, 38, 14, 27, 6, 2, 3
2021/9/5, 16, 22, 59, 5, 2, 3
2021/9/6, 32, 19, 30, 6, 1, 4
2021/9/7, 30, 30, 40, 8, 3, 4
2021/9/8, 51, 25, 53, 8, 3, 4
2021/9/9, 47, 25, 38, 9, 4, 5
2021/9/10, 47, 23, 33, 6, 1, 3
2021/9/11, 38, 19, 26, 6, 1, 2
2021/9/12, 37, 17, 38, 6, 1, 2
2021/9/13, 32, 30, 49, 8, 3, 4
2021/9/14, 52, 42, 79, 13, 4, 5
2021/9/15, 75, 37, 68, 6, 4, 4
2021/9/16, 70, 26, 58, 5, 3, 4
2021/9/17, 54, 28, 51, 2, 2, 3
2021/9/18, 67, 26, 46, 3, 2, 2
2021/9/19, 57, 27, 55, 3, 3, 2
2021/9/20, 57, 24, 29, 5, 4, 2
2021/9/21, 48, 23, 35, 5, 3, 2
2021/9/22, 43, 20, 31, 8, 6, 2
2021/9/23, 38, 33, 38, 7, 6, 1
2021/9/24, 65, 22, 44, 2, 2, 3
2021/9/25, 21, 34, 51, 2, 2, 3
2021/9/26, 46, 34, 59, 2, 2, 3
2021/9/27, 58, 32, 45, 5, 3, 3
2021/9/28, 59, 33, 44, 3, 2, 3
2021/9/29, 58, 40, 77, 6, 5, 4
2021/9/30, 74, 44, 71, 5, 5, 4
2021/10/1, 79, 25, 50, 6, 2, 4
2021/8/2, 58, 25, 57, 11, 4, 6
2021/8/3, 56, 27, 47, 11, 8, 6
2021/8/4, 59, 18, 37, 4, 2, 4
2021/8/5, 39, 13, 35, 1, 2, 5
2021/8/6, 21, 10, 28, 4, 2, 5
2021/8/7, 13, 25, 44, 7, 7, 4
2021/8/8, 43, 32, 43, 5, 2, 3
2021/8/9, 77, 32, 27, 4, 2, 2
2021/8/10, 62, , , , , 
2021/8/21, 53, 24, 29, 6, 4, 3
2021/8/22, 53, 24, 33, 5, 2, 2
2021/8/23, 49, 24, 31, 5, 2, 2
2021/8/24, 42, 15, 24, 4, 2, 2
2021/8/25, 33, 18, 24, 5, 2, 2
2021/8/26, 40, 23, 15, 6, 3, 2
2021/8/27, 54, 28, 25, 8, 3, 4
2021/8/28, 56, 36, 41, 9, 3, 4
2021/8/29, 64, 27, 38, 5, 1, 3
2021/8/30, 53, 23, 32, 4, 1, 2
2021/8/31, 38, 23, 41, 6, 2, 3
2021/9/1, 38, 30, 45, 7, 3, 2
2021/7/2, 44, 27, 29, 3, 2, 4
2021/7/3, 50, 26, 32, 3, 2, 3
2021/7/4, 49, 19, 24, 3, 2, 1
2021/7/5, 39, 25, 29, 6, 4, 2
2021/7/6, 44, 25, 38, 3, 3, 2
2021/7/7, 42, 16, 21, 4, 2, 1
2021/7/8, 25, 19, 26, 3, 3, 2
2021/7/9, 33, 18, 27, 5, 4, 1
2021/7/10, 32, 16, 22, 3, 3, 2
2021/7/11, 30, 16, 17, 3, 2, 1
2021/7/12, 27, 16, 17, 2, 2, 1
2021/7/13, 26, 14, 13, 3, 2, 2
2021/7/14, 21, 14, 12, 4, 4, 2
2021/7/15, 23, 14, 27, 7, 3, 2
2021/7/16, 21, 21, 31, 4, 3, 2
2021/7/17, 39, 18, 30, 2, 2, 1
2021/7/18, 34, 23, 36, 4, 3, 1
2021/7/19, 40, 23, 35, 3, 3, 1
2021/7/20, 39, 18, 22, 6, 3, 1
2021/7/21, 28, 39, 29, 9, 8, 2
2021/7/22, 68, 41, 47, 7, 7, 2
2021/7/23, 59, 29, 47, 7, 4, 2
2021/7/24, 57, 27, 36, 8, 6, 3
2021/7/25, 49, 34, 51, 9, 7, 2
2021/7/26, 62, 35, 46, 7, 5, 1
2021/7/27, 76, 46, 58, 8, 6, 2
2021/7/28, 82, 53, 68, 10, 6, 3
2021/7/29, 109, 39, 42, 10, 5, 5
2021/7/30, 61, 25, 41, 11, 5, 7
2021/7/31, 40, 25, 36, 10, 4, 6
2021/8/1, 55, 29, 53, 11, 6, 7
2021/6/2, 63, 21, 19, 7, 3, 3
2021/6/3, 39, 27, 25, 8, 5, 4
2021/6/4, 48, 21, 33, 7, 4, 3
2021/6/5, 38, 21, 42, 4, 2, 4
2021/6/6, 46, 10, 54, 4, 2, 3
2021/6/7, 16, 25, 35, 14, 3, 2
2021/6/8, 55, 21, 41, 5, 2, 2
2021/6/9, 47, 17, 37, 8, 3, 3
2021/6/10, 37, 21, 35, 6, 4, 3
2021/6/11, 44, 22, 32, 7, 4, 3
2021/6/12, 41, 23, 42, 6, 3, 3
2021/6/13, 38, 15, 18, 5, 2, 3
2021/6/14, 30, 15, 25, 4, 3, 
2021/6/15, 27, 18, 29, 3, 2, 3
2021/6/16, 30, 26, 32, 3, 2, 3
2021/6/17, 50, 29, 33, 4, 3, 3
2021/6/18, 50, 30, 35, 5, 2, 3
2021/6/19, 48, 38, 44, 5, 3, 4
2021/6/20, 60, 39, 42, 5, 3, 4
2021/6/21, 66, 37, 36, 8, 4, 5
2021/6/22, 63, 12, 39, 5, 2, 3
2021/6/23, 24, 17, 35, 5, 2, 2
2021/6/24, 27, 13, 33, 6, 2, 2
2021/6/25, 29, 18, 34, 7, 2, 2
2021/6/26, 35, 17, 29, 5, 2, 2
2021/6/27, 47, 31, 37, 6, 3, 3
2021/6/28, 59, 21, 25, 6, 2, 3
2021/6/29, 36, 24, 18, 10, 4, 3
2021/6/30, 44, 29, 24, 7, 4, 3
2021/7/1, 61, 27, 25, 3, 2, 
2021/5/2, 86, 36, 60, 5, 2, 5
2021/5/3, 74, 39, 31, 10, 3, 4
2021/5/4, 66, 29, 22, 11, 3, 5
2021/5/5, 68, 44, 44, 7, 3, 5
2021/5/6, 70, 44, 56, 4, 2, 3
2021/5/7, 63, 39, 45, 8, 5, 4
2021/5/8, 66, 28, 33, 8, 4, 4
2021/5/9, 52, 22, 19, 11, 3, 5
2021/5/10, 49, 29, 19, 10, 5, 6
2021/5/11, 60, 19, 23, 5, 3, 4
2021/5/12, 34, 23, 19, 5, 2, 4
2021/5/13, 45, 24, 13, 6, 3, 5
2021/5/14, 51, 18, 13, 5, 4, 4
2021/5/15, 39, 22, 16, 4, 2, 4
2021/5/16, 36, 23, 29, 4, 3, 3
2021/5/17, 45, 28, 40, 5, 3, 2
2021/5/18, 55, 22, 22, 9, 3, 2
2021/5/19, 47, 16, 17, 8, 3, 2
2021/5/20, 38, 18, 19, 4, 3, 1
2021/5/21, 35, 22, 27, 3, 3, 2
2021/5/22, 44, 25, 28, 4, 3, 1
2021/5/23, 53, 21, 39, 3, 3, 2
2021/5/24, 42, 18, 32, 5, 3, 2
2021/5/25, 36, 20, 75, 2, 2, 4
2021/5/26, 45, 19, 51, 3, 3, 3
2021/5/27, 40, 24, 35, 5, 3, 2
2021/5/28, 43, 32, 46, 7, 4, 3
2021/5/29, 47, 24, 38, 6, 3, 5
2021/5/30, 45, 21, 32, 6, 2, 7
2021/5/31, 51, 12, 35, 7, 2, 5
2021/6/1, 30, 27, 51, 6, 2, 4
2021/4/2, 49, 27, 35, 10, 3, 5
2021/4/3, 74, 21, 39, 10, 2, 5
2021/4/4, 51, 41, 48, 5, 2, 7
2021/4/5, 92, 41, 75, 4, 2, 5
2021/4/6, 73, 44, 72, 6, 3, 2
2021/4/7, 70, 41, 68, 6, 4, 2
2021/4/8, 66, 39, 47, 9, 4, 2
2021/4/9, 71, 42, 61, 5, 4, 2
2021/4/10, 80, 40, 57, 5, 3, 1
2021/4/11, 63, 43, 50, 12, 6, 3
2021/4/12, 81, 33, 34, 6, 4, 3
2021/4/13, 66, 35, 31, 10, 6, 4
2021/4/14, 56, 38, 44, 6, 2, 4
2021/4/15, 70, 28, 41, 6, 3, 3
2021/4/16, 54, 27, 49, 8, 3, 4
2021/4/17, 59, 34, 61, 6, 2, 4
2021/4/18, 61, 98, 68, 4, 3, 3
2021/4/19, 118, 58, 51, 5, 3, 1
2021/4/20, 70, 44, 47, 6, 2, 1
2021/4/21, 59, 44, 43, 5, 2, 
2021/4/22, 63, 43, 42, 11, 6, 3
2021/4/23, 65, 24, 42, 7, 4, 4
2021/4/24, 52, 33, 57, 5, 3, 4
2021/4/25, 67, 25, 27, 7, 2, 3
2021/4/26, 39, 32, 39, 3, 2, 2
2021/4/27, 52, 31, 31, 11, 3, 1
2021/4/28, 65, 13, 20, 13, 2, 5
2021/4/29, 44, 11, 48, 7, 3, 7
2021/4/30, 37, 37, 48, 15, 6, 6
2021/5/1, 80, 48, 55, 16, 6, 7
2021/3/2, 75, 31, 34, 13, 3, 4
2021/3/3, 56, 39, 32, 6, 2, 2
2021/3/4, 66, 55, 23, 19, 4, 5
2021/3/5, 111, 45, 39, 18, 2, 6
2021/3/6, 115, 31, 32, 8, 2, 5
2021/3/7, 77, 19, 41, 6, 2, 3
2021/3/8, 44, 35, 52, 5, 2, 3
2021/3/9, 72, 44, 51, 7, 3, 3
2021/3/10, 82, 37, 50, 5, 2, 3
2021/3/11, 74, 35, 54, 8, 2, 3
2021/3/12, 67, 44, 65, 9, 4, 4
2021/3/13, 89, 35, 70, 5, 2, 4
2021/3/14, 82, 32, 70, 5, 2, 3
2021/3/15, 70, 39, 61, 10, 4, 4
2021/3/16, 91, 42, 48, 14, 6, 5
2021/3/17, 91, 29, 48, 7, 2, 4
2021/3/18, 68, 28, 41, 6, 2, 4
2021/3/19, 59, 27, 36, 11, 3, 4
2021/3/20, 70, 25, 32, 8, 3, 4
2021/3/21, 66, 29, 32, 7, 2, 5
2021/3/22, 65, 81, 41, 6, 2, 3
2021/3/23, 129, 55, 43, 8, 3, 3
2021/3/24, 97, 33, 46, 10, 4, 3
2021/3/25, 76, 42, 58, 14, 4, 3
2021/3/26, 83, 27, 50, 9, 4, 2
2021/3/27, 48, 37, 46, 12, 6, 3
2021/3/28, 80, 50, 50, 20, 5, 5
2021/3/29, 99, 35, 43, 8, 3, 5
2021/3/30, 83, 31, 30, 11, 3, 4
2021/3/31, 64, 16, 39, 9, 3, 5
2021/4/1, 39, 18, 29, 8, 3, 4
2021/2/2, 87, 52, 43, 10, 2, 4
2021/2/3, 105, 52, 44, 3, 2, 2
2021/2/4, 71, 52, 44, 11, 3, 3
2021/2/5, 83, 42, 50, 10, 3, 3
2021/2/6, 78, 46, 47, 13, 5, 4
2021/2/7, 98, 45, 64, 10, 3, 5
2021/2/8, 109, 50, 57, 8, 2, 4
2021/2/9, 88, 30, 46, 3, 2, 2
2021/2/10, 64, 13, 38, 5, 1, 2
2021/2/11, 32, 8, 30, 5, 1, 1
2021/2/12, 24, 25, 36, 6, 2, 1
2021/2/13, 71, 16, 35, 7, 2, 2
2021/2/14, 49, 31, 44, 12, 3, 2
2021/2/15, 81, 30, 44, 9, 3, 2
2021/2/16, 77, 38, 46, 5, 2, 3
2021/2/17, 91, 45, 43, 4, 2, 3
2021/2/18, 104, 43, 47, 3, 2, 1
2021/2/19, 96, 29, 56, 4, 2, 2
2021/2/20, 68, 52, 66, 15, 6, 4
2021/2/21, 134, 42, 55, 16, 5, 3
2021/2/22, 117, 36, 42, 15, 5, 4
2021/2/23, 79, 42, 61, 11, 3, 4
2021/2/24, 85, 41, 61, 8, 2, 3
2021/2/25, 70, 40, 45, 13, 4, 4
2021/2/26, 80, 30, 39, 8, 2, 4
2021/2/27, 66, 16, 40, 5, 2, 3
2021/2/28, 42, 17, 41, 6, 2, 3
2021/3/1, 45, 35, 46, 14, 5, 5
2021/1/5, 90, 48, 35, 16, 4, 2
2021/1/6, 83, 32, 38, 7, 2, 1
2021/1/7, 74, 42, 35, 10, 2, 3
2021/1/8, 88, 32, 33, 9, 3, 3
2021/1/9, 79, 36, 35, 5, 2, 1
2021/1/10, 70, 39, 37, 6, 3, 1
2021/1/11, 74, 40, 33, 11, 3, 1
2021/1/12, 95, 42, 46, 11, 4, 2
2021/1/13, 84, 51, 47, 15, 7, 3
2021/1/14, 99, 56, 43, 20, 7, 4
2021/1/15, 107, 51, 44, 18, 6, 3
2021/1/16, 101, 69, 43, 14, 5, 3
2021/1/17, 121, 73, 40, 4, 2, 1
2021/1/18, 88, 66, 51, 6, 3, 2
2021/1/19, 105, 52, 43, 9, 3, 1
2021/1/20, 75, 51, 36, 15, 4, 4
2021/1/21, 82, 53, 39, 18, 5, 5
2021/1/22, 96, 50, 49, 18, 5, 5
2021/1/23, 99, 20, 30, 10, 2, 3
2021/1/24, 44, 39, 44, 4, 2, 4
2021/1/25, 87, 43, 47, 8, 3, 5
2021/1/26, 97, 48, 61, 12, 4, 5
2021/1/27, 102, 39, 49, 6, 2, 4
2021/1/28, 74, 38, 40, 8, 3, 5
2021/1/29, 82, 53, 46, 3, 2, 4
2021/1/30, 88, 50, 47, 7, 2, 2
2021/1/31, 68, 42, 41, 12, 4, 3
2021/2/1, 76, 43, 40, 15, 5, 3
2020/10/2, 63, 29, 52, 3, 2, 5
2020/10/3, 61, 31, 55, 5, 3, 5
2020/10/4, 51, 30, 49, 8, 4, 6
2020/10/5, 51, 39, 49, 4, 2, 6
2020/10/6, 52, 43, 51, 3, 2, 4
2020/10/7, 58, 31, 41, 3, 2, 4
2020/10/8, 55, 37, 50, 3, 2, 5
2020/10/9, 58, 35, 53, 2, 2, 4
2020/10/10, 59, 37, 69, 3, 2, 3
2020/10/11, 62, 35, 60, 5, 3, 3
2020/10/12, 60, 43, 67, 6, 3, 4
2020/10/13, 70, 38, 46, 5, 3, 4
2020/10/14, 57, 36, 57, 3, 2, 4
2020/10/15, 56, 34, 45, 4, 2, 4
2020/10/16, 59, 28, 39, 4, 2, 4
2020/10/17, 53, 33, 43, 4, 2, 3
2020/10/18, 65, 35, 64, 3, 2, 3
2020/10/19, 58, 29, 49, 5, 2, 3
2020/10/20, 57, 31, 45, 4, 2, 3
2020/10/21, 58, 23, 36, 11, 2, 4
2020/10/22, 48, 23, 30, 7, 2, 4
2020/10/23, 51, 49, 59, 6, 3, 3
2020/10/24, 69, 64, 74, 4, 3, 3
2020/10/25, 78, 36, 57, 3, 2, 3
2020/10/26, 53, 35, 53, 7, 2, 4
2020/10/27, 51, 31, 46, 5, 2, 4
2020/10/28, 43, 32, 54, 4, 2, 5
2020/10/29, 50, 30, 49, 5, 2, 5
2020/10/30, 62, 49, 66, 4, 3, 5
2020/10/31, 85, 41, 62, 4, 3, 2
2020/11/1, 61, 43, 53, 12, 5, 3
2020/11/2, 71, 47, 53, 9, 3, 4
2020/11/3, 71, 64, 83, 4, 3, 5
2020/11/4, 108, 54, 64, 4, 3, 4
2020/11/5, 80, 32, 53, 5, 2, 3
2020/11/6, 48, 37, 38, 17, 5, 4
2020/11/7, 61, 43, 36, 12, 4, 5
2020/11/8, 83, 58, 61, 6, 4, 6
2020/11/9, 116, 68, 78, 3, 3, 5
2020/11/10, 90, 44, 60, 4, 2, 3
2020/11/11, 52, 34, 43, 4, 2, 3
2020/11/12, 44, 30, 44, 5, 2, 3
2020/11/13, 51, 33, 50, 6, 2, 3
2020/11/14, 55, 27, 38, 6, 2, 3
2020/11/15, 55, 36, 46, 8, 2, 4
2020/11/16, 63, 43, 54, 10, 3, 5
2020/11/17, 68, 33, 42, 10, 3, 5
2020/11/18, 48, 41, 42, 16, 6, 6
2020/11/19, 67, 30, 28, 19, 4, 6
2020/11/20, 58, 31, 33, 14, 4, 7
2020/11/21, 71, 22, 51, 6, 2, 6
2020/11/22, 44, 34, 48, 13, 5, 5
2020/11/23, 64, 27, 35, 4, 2, 4
2020/11/24, 54, 26, 49, 5, 3, 4
2020/11/25, 44, 23, 41, 6, 2, 4
2020/11/26, 41, 32, 54, 11, 4, 4
2020/11/27, 52, 31, 58, 5, 2, 5
2020/11/28, 57, 26, 38, 6, 2, 5
2020/11/29, 52, 28, 43, 6, 2, 5
2020/11/30, 57, 20, 34, 5, 2, 4
2020/12/1, 41, 24, 35, 4, , 3
2020/12/2, 54, 32, 48, 4, 3, 3
2020/12/3, 50, 33, 48, 4, 2, 3
2020/12/4, 57, 24, 39, 6, 2, 4
2020/12/5, 58, 36, 45, 7, 3, 4
2020/12/6, 62, 27, 45, 7, 2, 4
2020/12/7, 44, 26, , 8, 2, 5
2020/12/8, 43, 19, 40, 8, 2, 5
2020/12/9, 39, 17, 33, 7, 1, 5
2020/12/10, 39, 33, 34, 13, 3, 6
2020/12/11, 63, 24, 84, 10, 2, 6
2020/12/12, 57, 45, 84, 10, 3, 8
2020/12/13, 95, 46, 65, 9, 4, 8
2020/12/14, 102, 35, 53, 8, 2, 7
2020/12/15, 72, 16, 44, 8, 2, 3
2020/12/16, 25, 11, 36, 6, 2, 2
2020/12/17, 19, 15, 31, 6, 2, 2
2020/12/18, 28, 32, 26, 13, 4, 3
2020/12/19, 36, 24, 22, 9, 2, 3
2020/12/20, 44, 16, 30, 6, 2, 3
2020/12/21, 37, 20, 35, 5, 2, 1
2020/12/22, 42, 24, 38, 6, 2, 2
2020/12/23, 49, 19, 38, 13, 2, 4
2020/12/24, 53, 32, 35, 10, 3, 5
2020/12/25, 70, 47, 39, 7, 3, 4
2020/12/26, 87, 48, 50, 9, 3, 4
2020/12/27, 69, 52, 57, 14, 6, 6
2020/12/28, 97, 44, 39, 9, 3, 5
2020/12/29, 81, 41, 37, 12, 5, 5
2020/12/30, 87, 29, 37, 11, 2, 5
2020/12/31, 46, 30, 42, 6, 2, 2
2021/1/1, 62, 31, 43, 6, 3, 2
2021/1/2, 75, 46, 45, 13, 6, 3
2021/1/3, 98, 45, 45, 12, 5, 3
2021/1/4, 84, 52, 48, 14, 5, 3
2020/7/2, 17, 13, 29, 6, 2, 5
2020/7/3, 23, 15, 26, 3, 2, 3
2020/7/4, 22, 17, 34, 5, 2, 2
2020/7/5, 23, 21, 42, 5, 3, 2
2020/7/6, 38, 16, 36, 3, 2, 2
2020/7/7, 32, 16, 38, 4, 2, 2
2020/7/8, 27, 20, 36, 5, 2, 2
2020/7/9, 37, 23, 30, 5, 2, 2
2020/7/10, 45, 20, 31, 4, 2, 1
2020/7/11, 45, 18, 27, 5, 3, 3
2020/7/12, 39, 18, 30, 5, 3, 4
2020/7/13, 39, 27, 43, 9, 5, 6
2020/7/14, 59, 33, 61, 10, 4, 5
2020/7/15, 66, 34, 49, 9, 3, 5
2020/7/16, 96, 33, 45, 9, 4, 5
2020/7/17, 83, 19, 36, 5, 2, 3
2020/7/18, 29, 17, 30, 4, 2, 3
2020/7/19, 21, 15, 26, 4, 2, 3
2020/7/20, 20, 13, 25, 5, 2, 2
2020/7/21, 20, 13, 26, 5, 3, 2
2020/7/22, 21, 13, 26, 4, 2, 1
2020/7/23, 20, 13, 19, 4, 3, 2
2020/7/24, 19, 22, 41, 7, 3, 3
2020/7/25, 33, 23, 43, 10, 3, 3
2020/7/26, 34, 24, 43, 9, 4, 3
2020/7/27, 48, 19, 30, 5, 4, 3
2020/7/28, 46, 16, 25, 7, 4, 2
2020/7/29, 46, 23, 33, 9, 6, 3
2020/7/30, 58, 31, 46, 9, 5, 3
2020/7/31, 68, 38, 43, 11, 8, 3
2020/8/1, 89, 26, 41, 7, 4, 3
2020/8/2, 72, 14, 28, 6, 3, 2
2020/8/3, 26, 14, 27, 6, 3, 2
2020/8/4, 21, 8, 21, 4, 3, 2
2020/8/5, 13, 10, 24, 5, 3, 2
2020/8/6, 20, 17, 30, 7, 4, 2
2020/8/7, 39, 20, 26, 6, 4, 2
2020/8/8, 48, 21, 31, 5, 4, 1
2020/8/9, 38, 30, 47, 7, 4, 1
2020/8/10, 55, 16, 40, 10, 6, 3
2020/8/11, 29, 15, 24, 4, 2, 3
2020/8/12, 25, 11, 22, 5, 2, 3
2020/8/13, 16, 13, 17, 6, 2, 3
2020/8/14, 26, 19, 29, 6, 4, 4
2020/8/15, 45, 24, 43, 9, 3, 3
2020/8/16, 48, 32, 37, 12, 7, 5
2020/8/17, 66, 31, 37, 9, 4, 3
2020/8/18, 59, 21, 31, 4, 2, 3
2020/8/19, 38, 30, 32, 9, 3, 3
2020/8/20, 60, 40, 28, 7, 3, 4
2020/8/21, 81, 33, 32, 8, 3, 4
2020/8/22, 65, 23, 31, 7, 5, 4
2020/8/23, 40, 32, 44, 7, 4, 5
2020/8/24, 68, 29, 48, 7, 4, 5
2020/8/25, 61, 43, 63, 12, 6, 6
2020/8/26, 87, 27, 49, 7, 3, 4
2020/8/27, 55, 15, 27, 4, 2, 4
2020/8/28, 28, 17, 48, 4, 2, 4
2020/8/29, 42, 30, 80, 5, 4, 5
2020/8/30, 67, 25, 53, 5, 3, 5
2020/8/31, 53, 25, 38, 8, 4, 5
2020/9/1, 51, 40, 66, 13, 6, 6
2020/9/2, 78, 44, 96, 19, 9, 7
2020/9/3, 90, 49, 91, 13, 6, 7
2020/9/4, 101, 39, 72, 2, 2, 5
2020/9/5, 81, 30, 68, 5, 2, 5
2020/9/6, 70, 38, 74, 4, 4, 4
2020/9/7, 75, 31, 56, 5, 3, 4
2020/9/8, 68, 22, 55, 11, 2, 5
2020/9/9, 55, 33, 43, 10, 4, 5
2020/9/10, 73, 24, 35, 7, 5, 5
2020/9/11, 51, 28, 48, 7, 4, 4
2020/9/12, 58, 24, 49, 6, 2, 4
2020/9/13, 57, 39, 58, 9, 3, 5
2020/9/14, 82, 32, 70, 4, 3, 4
2020/9/15, 56, 18, 70, 3, 3, 4
2020/9/16, 40, 28, 76, 8, 4, 5
2020/9/17, 61, 36, 89, 10, 5, 5
2020/9/18, 71, 28, 89, 7, 6, 4
2020/9/19, 52, 21, 43, 4, 3, 4
2020/9/20, 41, 18, 48, 6, 2, 4
2020/9/21, 44, 30, , 5, 3, 5
2020/9/22, 56, 36, 74, 3, 2, 4
2020/9/23, 59, 36, 58, 4, 3, 5
2020/9/24, 63, 37, 42, 7, 2, 5
2020/9/25, 77, 26, 74, 4, 2, 5
2020/9/26, 53, 39, 59, 5, 2, 4
2020/9/27, 65, 17, 43, 5, 2, 4
2020/9/28, 39, 22, 35, 9, 3, 4
2020/9/29, 43, 25, 48, 5, 2, 4
2020/9/30, 42, 20, 38, 7, 2, 4
2020/10/1, 41, 30, 63, 3, 2, 4
2020/4/2, 64, 20, 43, 5, 2, 3
2020/4/3, 53, 19, 35, 9, 2, 3
2020/4/4, 60, 28, 41, 8, 3, 3
2020/4/5, 67, 34, 39, 5, 2, 1
2020/4/6, 73, 35, 41, 18, 2, 2
2020/4/7, 75, 39, 46, 14, 6, 3
2020/4/8, 87, 35, 50, 13, 4, 1
2020/4/9, 60, 45, 74, 14, 5, 2
2020/4/10, 82, 41, 74, 12, 5, 3
2020/4/11, 73, 53, 41, 24, 7, 5
2020/4/12, 108, 25, 47, 6, 3, 4
2020/4/13, 55, 37, 63, 8, 3, 2
2020/4/14, 71, 47, 72, 6, 3, 3
2020/4/15, 86, 49, 70, 13, 7, 4
2020/4/16, 107, 49, 59, 14, 7, 4
2020/4/17, 108, 44, 55, 12, 5, 4
2020/4/18, 82, 40, 38, 13, 5, 5
2020/4/19, 71, 40, 39, 10, 3, 5
2020/4/20, 80, 35, 47, 9, 2, 6
2020/4/21, 75, 30, 47, 8, 2, 5
2020/4/22, 62, 24, 49, 6, 2, 3
2020/4/23, 45, 18, 43, 5, 1, 3
2020/4/24, 47, 22, 47, 5, 2, 2
2020/4/25, 51, 41, 66, 11, 5, 3
2020/4/26, 71, 44, 92, 14, 7, 4
2020/4/27, 88, 44, 73, 19, 6, 4
2020/4/28, 84, 44, 73, 7, 2, 3
2020/4/29, 62, 42, 50, 10, 3, 3
2020/4/30, 68, 44, 83, 14, 5, 4
2020/5/1, 87, 39, 79, 13, 4, 4
2020/5/2, 84, 33, 79, 10, 4, 3
2020/5/3, 73, 33, 46, 11, 5, 4
2020/5/4, 73, 29, 48, 11, 2, 4
2020/5/5, 67, 27, 48, 9, 2, 3
2020/5/6, 57, 28, 39, 10, 3, 3
2020/5/7, 63, 16, 42, 6, 1, 3
2020/5/8, 41, 17, , 6, 2, 3
2020/5/9, 56, 20, 40, 8, 2, 3
2020/5/10, 53, 30, 68, 12, 4, 4
2020/5/11, 66, 24, 77, 6, 2, 7
2020/5/12, 62, 27, 70, 5, 2, 6
2020/5/13, 76, 45, 101, 5, 3, 5
2020/5/14, 80, 43, 81, 9, 5, 4
2020/5/15, 72, 30, 54, 7, 2, 4
2020/5/16, 57, 13, 39, 4, 2, 3
2020/5/17, 30, 22, 40, 6, 3, 3
2020/5/18, 40, 18, 34, 10, 2, 4
2020/5/19, 41, 39, 62, 8, 4, 5
2020/5/20, 73, 42, 49, 8, 3, 4
2020/5/21, 76, 18, 39, 6, 1, 4
2020/5/22, 47, 8, 40, 5, 1, 3
2020/5/23, 21, 19, 53, 9, 3, 4
2020/5/24, 42, 26, 70, 9, 3, 3
2020/5/25, 41, 15, 42, 6, 2, 3
2020/5/26, 25, 18, 35, 7, 2, 3
2020/5/27, 31, 26, 38, 9, 3, 4
2020/5/28, 47, 24, 51, 6, 2, 4
2020/5/29, 49, 32, 46, 5, 3, 4
2020/5/30, 66, 29, 45, 11, 2, 4
2020/5/31, 55, 26, 35, 12, 4, 4
2020/6/1, 41, 24, 27, 10, 3, 4
2020/6/2, 44, 16, 26, 5, 1, 3
